Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
56,Ky Bowman\bowmaky01,PG,22,GSW,44,12,22.5,2.9,7.2,.410,0.7,2.4,.305,2.2,4.8,.462,.460,0.8,0.9,.829,0.5,2.1,2.7,3.0,1.0,0.2,1.6,2.2,7.4
57,Avery Bradley\bradlav01,SG,29,LAL,43,38,23.5,3.4,7.6,.455,1.1,3.1,.363,2.3,4.4,.521,.531,0.4,0.5,.800,0.4,1.9,2.3,1.2,0.9,0.1,0.9,2.3,8.4
58,Tony Bradley\bradlto01,C,22,UTA,45,2,10.3,1.9,3.0,.644,0.0,0.0,1.000,1.9,3.0,.642,.648,0.6,0.8,.658,1.8,2.4,4.2,0.3,0.2,0.4,0.5,1.9,4.4
59,Jarrell Brantley\brantja01,PF,23,UTA,3,0,3.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.7,1.7,0.3,0.0,0.7,0.3,0.3,0.0
60,Ignas Brazdeikis\brazdig01,SF,21,NYK,9,0,5.9,0.7,2.4,.273,0.1,1.0,.111,0.6,1.4,.385,.295,0.4,0.6,.800,0.2,0.3,0.6,0.4,0.0,0.1,0.2,0.3,1.9
61,Mikal Bridges\bridgmi01,SF,23,PHO,60,19,26.2,3.0,5.9,.511,0.8,2.2,.341,2.3,3.7,.612,.574,1.4,1.6,.837,0.9,3.0,3.9,1.7,1.5,0.6,0.9,2.2,8.2
62,Miles Bridges\bridgmi02,SF,21,CHO,59,58,30.7,5.1,11.5,.438,1.6,4.6,.346,3.5,6.9,.499,.507,1.6,2.0,.802,1.4,4.1,5.5,1.7,0.6,0.7,1.5,2.1,13.3
63,Oshae Brissett\brissos01,SF,21,TOR,19,0,7.1,0.7,1.9,.361,0.2,0.8,.200,0.5,1.1,.476,.403,0.4,0.5,.800,0.5,0.9,1.4,0.4,0.2,0.1,0.4,0.9,1.9
64,Ryan Broekhoff\broekry01,SG,29,DAL,17,1,10.6,1.3,3.5,.373,1.2,3.0,.392,0.1,0.5,.250,.542,0.4,0.5,.875,0.3,2.2,2.5,0.6,0.3,0.2,0.4,0.9,4.2
65,Malcolm Brogdon\brogdma01,PG,27,IND,45,45,30.9,6.0,13.9,.432,1.3,4.2,.314,4.7,9.7,.483,.479,3.0,3.3,.887,0.9,3.9,4.8,7.2,0.7,0.2,2.5,1.8,16.3
66,Dillon Brooks\brookdi01,SG,24,MEM,59,59,28.5,5.7,14.1,.407,2.0,5.4,.375,3.7,8.7,.426,.478,2.2,2.7,.816,1.0,2.3,3.3,2.1,0.9,0.4,1.6,3.8,15.6
67,Bruce Brown\brownbr01,SG,23,DET,56,42,28.1,3.4,7.6,.443,0.6,1.6,.337,2.8,6.0,.472,.479,1.6,2.1,.737,1.0,3.7,4.7,3.9,1.1,0.5,1.7,2.8,8.9
68,Charlie Brown\brownch02,SG,22,ATL,10,0,4.0,0.6,1.9,.316,0.3,0.9,.333,0.3,1.0,.300,.395,0.5,0.5,1.000,0.2,0.2,0.4,0.2,0.2,0.2,0.3,0.3,2.0
69,Jaylen Brown\brownja02,SF,23,BOS,48,48,33.8,7.5,15.3,.494,2.1,5.5,.383,5.4,9.7,.557,.563,3.2,4.3,.741,1.1,5.4,6.4,2.1,1.1,0.3,2.3,3.0,20.4
70,Moses Brown\brownmo01,C,20,POR,9,0,3.7,0.4,1.1,.400,0.0,0.0,,0.4,1.1,.400,.400,0.3,0.9,.375,0.3,1.2,1.6,0.1,0.1,0.1,0.3,0.8,1.2
71,Sterling Brown\brownst02,SF,24,MIL,41,0,14.5,1.7,4.7,.368,0.8,2.4,.320,1.0,2.3,.419,.451,0.6,0.8,.788,0.6,3.1,3.7,1.0,0.5,0.1,0.8,1.1,4.9
72,Troy Brown\browntr01,SG,20,WAS,55,14,25.2,3.9,8.5,.461,0.8,2.4,.336,3.1,6.1,.510,.509,1.4,1.9,.755,1.1,4.3,5.3,2.3,1.3,0.1,1.0,1.9,10.0
73,Jalen Brunson\brunsja01,PG,23,DAL,57,16,17.9,3.2,6.8,.466,0.8,2.1,.358,2.4,4.7,.515,.522,1.1,1.3,.813,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3,8.2
